page,text,font_name,font_size,style,color_rgb,color_hex,bbox
24,Dr. Satya Murti,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 684.0886840820312, 185.65162658691406, 695.2472534179688)"
24,"Associate Professor, SSIS, JNU (2015)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 684.0886840820312, 412.0647888183594, 695.2472534179688)"
24,21.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 697.5287475585938, 102.6240005493164, 708.6873168945312)"
24,Dr. Suchitra,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 697.7687377929688, 171.52952575683594, 708.9273071289062)"
24,"Assistant Professor, Gargi College, DU (2015)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 697.7687377929688, 442.4139099121094, 708.9273071289062)"
24,22.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 711.208740234375, 102.6240005493164, 722.3673095703125)"
24,Dr. Sukhram,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 711.44873046875, 174.19064331054688, 722.6072998046875)"
24,"Assistant Professor, Shivaji College, DU (2015)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 711.44873046875, 447.7782287597656, 722.6072998046875)"
24,23.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 725.1287231445312, 102.6240005493164, 736.2872924804688)"
24,Dr. P.C. Padhy,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 725.3687133789062, 182.88970947265625, 736.5272827148438)"
24,"Associate Professor, Jagannath Sanskrit University (2015)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 725.3687133789062, 488.55181884765625, 736.5272827148438)"
24,24.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 738.8107299804688, 102.6240005493164, 749.9692993164062)"
24,Sh. Poulasti  Pradhan,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 739.0507202148438, 208.06954956054688, 750.2092895507812)"
24,"Lecturer, Higher Education, Govt. of Odisha (2016)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 739.0507202148438, 463.3819885253906, 750.2092895507812)"
24,25.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 752.5147094726562, 102.6240005493164, 763.6732788085938)"
24,Sh. Tridwip Vedalankar,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 752.7546997070312, 218.86520385742188, 763.9132690429688)"
24,"Assistant Professor, Bankura University, West Bengal (2016)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 752.7546997070312, 501.0308532714844, 763.9132690429688)"
25,"Information Brochure, Department of Sanskrit ",Times New Roman,12.0,regular,"(112, 48, 160)",#7030A0,"(186.07000732421875, 35.64796447753906, 412.1300048828125, 48.93196487426758)"
25,21 ,Calibri,11.04,regular,"(0, 0, 0)",#000000,"(292.20001220703125, 782.0159301757812, 305.7350158691406, 793.0559692382812)"
25,26.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 72.39872741699219, 102.6240005493164, 83.55728149414062)"
25,Dr. Raj Mangal Yadav,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 72.63871765136719, 213.80506896972656, 83.79727172851562)"
25,"Assistant Professor, Ramjas College, DU (2016)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 72.63871765136719, 449.4615783691406, 83.79727172851562)"
25,27.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 86.07872009277344, 102.6240005493164, 97.23727416992188)"
25,Sh. Bhojraj Sahu,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 86.31871032714844, 190.7924041748047, 97.47726440429688)"
25,"Lecturer, Higher Education, Govt. of Odisha (2016)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 86.31871032714844, 463.55889892578125, 97.47726440429688)"
25,28.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 99.75871276855469, 102.6240005493164, 110.91726684570312)"
25,Dr. Kailash Chand,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 99.99870300292969, 197.25994873046875, 111.15725708007812)"
25,"Lecturer, Higher Education, Govt. of Odisha (2016)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 99.99870300292969, 463.55889892578125, 111.15725708007812)"
25,29.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 113.67869567871094, 102.6240005493164, 124.83724975585938)"
25,Dr. Sandeep Kumar,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 113.91868591308594, 202.1021728515625, 125.07723999023438)"
25,"Raj Bhasha Adhikari, Punjab National Bank (2016)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 113.91868591308594, 461.6886901855469, 125.07723999023438)"
25,30.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 127.38871765136719, 102.6240005493164, 138.54727172851562)"
25,Prof. G C Pant,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 127.62870788574219, 181.37771606445312, 138.78726196289062)"
25,"Professor & Head, Department of Sanskrit, Jamia Milia Islamia ",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 127.62870788574219, 525.6262817382812, 138.78726196289062)"
25,(2017),Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 140.82872009277344, 282.1100769042969, 151.98727416992188)"
25,31.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 154.2687225341797, 102.6240005493164, 165.42727661132812)"
25,Dr. J P Yadav,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 154.5087127685547, 178.79722595214844, 165.66726684570312)"
25,"Associate Professor, Jamia Milia Islamia (2017)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 154.5087127685547, 448.0099792480469, 165.66726684570312)"
25,32.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 167.94871520996094, 102.6240005493164, 179.10726928710938)"
25,Dr. Abhay Kumar Shandilya,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 168.18870544433594, 237.31527709960938, 179.34725952148438)"
25,"Assistant Professor, Jamia Milia Islamia (2017)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 168.18870544433594, 445.86297607421875, 179.34725952148438)"
25,33.,Times New Roman,10.08,regular,"(0, 0, 0)",#000000,"(90.02400207519531, 181.6287078857422, 102.6240005493164, 192.78726196289062)"
25,Dr. Dhananjay Mani Tripathi,Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(122.44999694824219, 181.8686981201172, 239.60986328125, 193.02725219726562)"
25,"Assistant Professor, Jamia Milia Islamia (2017)",Times New Roman,10.08,regular,"(0, 32, 96)",#002060,"(255.22000122070312, 181.8686981201172, 445.86297607421875, 193.02725219726562)"
